ability,способность
stay,оставаться
steal,воровать
step,шаг
stick,(at_/_to_/_with_/_by)_держаться__придерживаться
still,до_сих_пор
stop,прекращать__останавливаться
store,магазин
storm,шторм
story,история
straight,прямой
strange,странный
street,улица
strength,сила
stretch,растягивать
strike,бить
string,верёвка
strong,сильный
struggle,борьба
student,студент
study,изучать
stuff,вещи
stupid,глупый
style,стиль
subject,предмет
success,успех
such,такой
suddenly,внезапно
suffer,страдать
suggest,предлагать
suit,костюм
sun,солнце
supply,доставлять
support,поддерживать
suppose,предполагать
sure,уверенный_верный__безошибочный_надёжный
surprise,сюрприз
surround,окружать
survive,пережить
swear,клясться
sweet,сладкий
swing,качать
system,система
table,стол
take,брать
talk,говорить
tall,высокий
taste,вкус
teach,учить__обучать
team,команда
tear,рвать
tell,рассказывать
ten,десять
tend,иметь_склонность
term,срок
terrible,ужасный
test,испытание
thank,благодарить
they,они
thing,вещь
think,думать
third,третий
this,этот
though,хотя
thousand,тысяча
threaten,угрожать
three,три
throw,бросать
tie,галстук
tight,тугой
till,до
time,время
tip,подсказка
tire,уставать
today,сегодня
together,вместе
tomorrow,завтра
tongue,язык
tonight,сегодня_вечером
tool,инструмент
tooth, зуб
top,вершина
touch,прикасаться
town,город_(маленький)
track,след
trade,торговля
train,поезд
trap,ловушка
travel,путешествовать
treat,обращаться
tree,дерево
trick,хитрость
trip,путешествие
trouble,неприятности
true,верный
trust,доверие
truth,правда
try,пытаться
turn,поворачивать
twenty,двадцать
twice,дважды
twist,поворот
two,два
type,печатать
understand,понимать
unite,объединять
unless,до_тех_пор
upon,на
use,использовать
usually,обычно
value,ценность
verse,куплет
view,вид
vision,видение
visit,посещать
voice,голос
wait,ждать
wake,просыпаться
walk,гулять
wall,стена
want,желание_желать_хотеть_потребность
war,война
warn,предупреждать
wash,стирка
waste,тратить_впустую
watch,смотреть
water,вода
wave,махать
way,дорога
we,мы
weak,слабый
weapon,оружие
wear,носить
wed,вступать_в_брак
week,неделя
weight,вес
welcome,добро_пожаловать
west,запад
whatever,что_бы_ни
whether,либо
whisper,шептать
whole,весь__целый_полный
whose,чей
wide,широкий
wife,жена
wild,дикий
win,выиграть
wind,ветер
window,окно
wing,крыло
wish,желать
with,с
within,в_пределах
without,без
woman,женщина
wonder,удивлять
wonderful,замечательный
word,слово
work,работа
worry,беспокойство
worth,стоимость
wrap,обертывать
write,писать
wrong,неправильный
year,год
yes,да
yesterday,вчера
yet,ещё
